explanation_id,sentence_id,sentence_text,label_annotator_1,label_annotator_2,label_final,adjudication_note,notes
AI_E01_2,6,"Resistance causes charges to collide more often with atoms in the material, which slows their overall motion.",PRINCIPLE_DERIVE,PRINCIPLE_DERIVE,PRINCIPLE_DERIVE,,QC_OK: PRINCIPLE_DERIVE label confirmed
AI_E01_2,7,"That is why adding a resistor, longer wire, or thinner wire reduces the amount of current flowing in the circuit.",PRINCIPLE_DERIVE,PRINCIPLE_DERIVE,PRINCIPLE_DERIVE,,QC_OK: PRINCIPLE_DERIVE label confirmed
AI_E02_1,1,A battery eventually runs out because its stored chemical energy is gradually converted into electrical energy.,FRAME,,FRAME,,Step4 full-pass (5-label schema)
AI_E02_1,2,"Inside the battery, chemical reactions separate charges and create a voltage difference between the terminals.",PRINCIPLE_DERIVE,,PRINCIPLE_DERIVE,,Step4 full-pass (5-label schema)
AI_E02_1,3,"When the circuit is closed, charges flow and the reactions continue.",PRINCIPLE_DERIVE,,PRINCIPLE_DERIVE,,Step4 full-pass (5-label schema)
AI_E02_1,4,"Over time, the chemicals that drive these reactions are used up or become less effective.",PRINCIPLE_DERIVE,,PRINCIPLE_DERIVE,,Step4 full-pass (5-label schema)
AI_E02_1,5,"As this happens, the battery can no longer maintain the same voltage, so current decreases.",PRINCIPLE_DERIVE,,PRINCIPLE_DERIVE,,Step4 full-pass (5-label schema)
AI_E02_1,6,"A closed circuit allows energy transfer, but it does not mean energy is endlessly recycled.",CAVEAT,,CAVEAT,,Step4 full-pass (5-label schema)
AI_E02_1,7,"The battery is the energy source, and that source is limited.",CAVEAT,,CAVEAT,,Step4 full-pass (5-label schema)
AI_E02_2,1,A battery eventually runs out because its stored chemical energy is gradually converted into electrical energy.,FRAME,,FRAME,,Step4 full-pass (5-label schema)
AI_E02_2,2,"Inside the battery, chemical reactions separate charges and create a voltage difference between the terminals.",PRINCIPLE_DERIVE,,PRINCIPLE_DERIVE,,Step4 full-pass (5-label schema)
AI_E02_2,3,"When the circuit is closed, charges flow and the reactions continue.",PRINCIPLE_DERIVE,,PRINCIPLE_DERIVE,,Step4 full-pass (5-label schema)
AI_E02_2,4,"Over time, the chemicals that drive these reactions are used up or become less effective.",PRINCIPLE_DERIVE,,PRINCIPLE_DERIVE,,Step4 full-pass (5-label schema)
AI_E02_2,5,"As this happens, the battery can no longer maintain the same voltage, so current decreases.",PRINCIPLE_DERIVE,,PRINCIPLE_DERIVE,,Step4 full-pass (5-label schema)
AI_E02_2,6,"A closed circuit allows energy transfer, but it does not mean energy is endlessly recycled.",CAVEAT,,CAVEAT,,Step4 full-pass (5-label schema)
AI_E02_2,7,"The battery is the energy source, and that source is limited.",CAVEAT,,CAVEAT,,Step4 full-pass (5-label schema)
AI_E03_1,1,Touching a charged object sometimes produces a spark because electric charge can suddenly jump through the air.,FRAME,,FRAME,,Step4 full-pass (5-label schema)
AI_E03_1,2,"If there is a large enough voltage difference between your body and the object, electrons move quickly to balance the charges.",PRINCIPLE_DERIVE,,PRINCIPLE_DERIVE,,Step4 full-pass (5-label schema)
AI_E03_1,3,"Normally, air acts as an insulator, but a strong electric field can ionize the air, allowing current to flow briefly.",CAVEAT,,CAVEAT,,Step4 full-pass (5-label schema)
AI_E03_1,4,"That rapid discharge creates light, heat, and the tiny crackling sound of a spark.",PRINCIPLE_DERIVE,,PRINCIPLE_DERIVE,,Step4 full-pass (5-label schema)
AI_E03_1,5,Dry air makes this more common because charge builds up more easily.,CAVEAT,,CAVEAT,,Step4 full-pass (5-label schema)
AI_E03_1,6,The spark is simply the fast release of stored electrical energy between two differently charged objects.,VERIFY,,VERIFY,,Step4 full-pass (5-label schema)
AI_E03_2,1,Touching a charged object sometimes produces a spark because electric charge can suddenly jump through the air.,FRAME,,FRAME,,Step4 full-pass (5-label schema)
AI_E03_2,2,"If there is a large enough voltage difference between your body and the object, electrons move quickly to balance the charges.",PRINCIPLE_DERIVE,,PRINCIPLE_DERIVE,,Step4 full-pass (5-label schema)
AI_E03_2,3,"Normally, air acts as an insulator, but a strong electric field can ionize the air, allowing current to flow briefly.",CAVEAT,,CAVEAT,,Step4 full-pass (5-label schema)
AI_E03_2,4,"That rapid discharge creates light, heat, and the tiny crackling sound of a spark.",PRINCIPLE_DERIVE,,PRINCIPLE_DERIVE,,Step4 full-pass (5-label schema)
AI_E03_2,5,Dry air makes this more common because charge builds up more easily.,CAVEAT,,CAVEAT,,Step4 full-pass (5-label schema)
AI_E03_2,6,The spark is simply the fast release of stored electrical energy between two differently charged objects.,VERIFY,,VERIFY,,Step4 full-pass (5-label schema)
AI_E04_1,1,A compass needle aligns with Earth’s magnetic field because the needle is a small magnet.,FRAME,,FRAME,,Step4 full-pass (5-label schema)
AI_E04_1,2,Magnets experience a torque in a magnetic field that causes them to rotate until they line up with the field direction.,PRINCIPLE_DERIVE,,PRINCIPLE_DERIVE,,Step4 full-pass (5-label schema)
AI_E04_1,3,"Earth acts like a giant magnet, producing a magnetic field that extends through space around it.",PRINCIPLE_DERIVE,,PRINCIPLE_DERIVE,,Step4 full-pass (5-label schema)
AI_E04_1,4,"When the compass is free to rotate, the magnetic forces on its poles make it settle in the north-south direction.",PRINCIPLE_DERIVE,,PRINCIPLE_DERIVE,,Step4 full-pass (5-label schema)
AI_E04_1,5,The needle is not being pulled north by location alone.,CAVEAT,,CAVEAT,,Step4 full-pass (5-label schema)
AI_E04_1,6,"Instead, it is responding to the magnetic field at that point on Earth’s surface.",VERIFY,,VERIFY,,Step4 full-pass (5-label schema)
AI_E04_2,1,A compass needle aligns with Earth’s magnetic field because the needle is a small magnet.,FRAME,,FRAME,,Step4 full-pass (5-label schema)
AI_E04_2,2,Magnets experience a torque in a magnetic field that causes them to rotate until they line up with the field direction.,PRINCIPLE_DERIVE,,PRINCIPLE_DERIVE,,Step4 full-pass (5-label schema)
AI_E04_2,3,"Earth acts like a giant magnet, producing a magnetic field that extends through space around it.",PRINCIPLE_DERIVE,,PRINCIPLE_DERIVE,,Step4 full-pass (5-label schema)
AI_E04_2,4,"When the compass is free to rotate, the magnetic forces on its poles make it settle in the north-south direction.",PRINCIPLE_DERIVE,,PRINCIPLE_DERIVE,,Step4 full-pass (5-label schema)
AI_E04_2,5,The needle is not being pulled north by location alone.,CAVEAT,,CAVEAT,,Step4 full-pass (5-label schema)
AI_E04_2,6,"Instead, it is responding to the magnetic field at that point on Earth’s surface.",VERIFY,,VERIFY,,Step4 full-pass (5-label schema)
AI_E05_1,1,A changing magnetic field induces current in a wire loop because changing magnetic fields create electric fields.,FRAME,,FRAME,,Step4 full-pass (5-label schema)
AI_E05_1,2,This is described by Faraday’s law.,PRINCIPLE_DERIVE,,PRINCIPLE_DERIVE,,Step4 full-pass (5-label schema)
AI_E05_1,3,"When the magnetic field through a loop changes, the charges in the wire feel a force that makes them move, producing current.",PRINCIPLE_DERIVE,,PRINCIPLE_DERIVE,,Step4 full-pass (5-label schema)
AI_E05_1,4,"The faster the magnetic field changes, the greater the induced current.",PRINCIPLE_DERIVE,,PRINCIPLE_DERIVE,,Step4 full-pass (5-label schema)
AI_E05_1,5,"This principle is used in generators, transformers, and wireless charging.",INTUITION,,INTUITION,,Step4 full-pass (5-label schema)
AI_E05_1,6,The key idea is that electricity and magnetism are linked.,PRINCIPLE_DERIVE,,PRINCIPLE_DERIVE,,Step4 full-pass (5-label schema)
AI_E05_1,7,"A steady magnetic field alone may do nothing, but a changing one can transfer energy and drive charge flow through the wire.",CAVEAT,,CAVEAT,,Step4 full-pass (5-label schema)
AI_E05_2,1,A changing magnetic field induces current in a wire loop because changing magnetic fields create electric fields.,FRAME,,FRAME,,Step4 full-pass (5-label schema)
AI_E05_2,2,This is described by Faraday’s law.,PRINCIPLE_DERIVE,,PRINCIPLE_DERIVE,,Step4 full-pass (5-label schema)
AI_E05_2,3,"When the magnetic field through a loop changes, the charges in the wire feel a force that makes them move, producing current.",PRINCIPLE_DERIVE,,PRINCIPLE_DERIVE,,Step4 full-pass (5-label schema)
AI_E05_2,4,"The faster the magnetic field changes, the greater the induced current.",PRINCIPLE_DERIVE,,PRINCIPLE_DERIVE,,Step4 full-pass (5-label schema)
AI_E05_2,5,"This principle is used in generators, transformers, and wireless charging.",INTUITION,,INTUITION,,Step4 full-pass (5-label schema)
AI_E05_2,6,The key idea is that electricity and magnetism are linked.,PRINCIPLE_DERIVE,,PRINCIPLE_DERIVE,,Step4 full-pass (5-label schema)
AI_E05_2,7,"A steady magnetic field alone may do nothing, but a changing one can transfer energy and drive charge flow through the wire.",CAVEAT,,CAVEAT,,Step4 full-pass (5-label schema)
AI_E06_1,1,Current is the same everywhere in a series circuit because there is only one path for charges to follow.,FRAME,,FRAME,,Step4 full-pass (5-label schema)
AI_E06_1,2,Charge cannot pile up in one part of the circuit while disappearing in another.,PRINCIPLE_DERIVE,,PRINCIPLE_DERIVE,,Step4 full-pass (5-label schema)
AI_E06_1,3,"In a steady circuit, the same amount of charge that enters each component must leave it.",PRINCIPLE_DERIVE,,PRINCIPLE_DERIVE,,Step4 full-pass (5-label schema)
AI_E06_1,4,"If current were different at different points, charge would build up somewhere, which does not happen in normal operation.",VERIFY,,VERIFY,,Step4 full-pass (5-label schema)
AI_E06_1,5,You can think of it like water flowing through a single pipe loop: the same amount of water passes every point each second.,INTUITION,,INTUITION,,Step4 full-pass (5-label schema)
AI_E06_1,6,"In a series circuit, all components share the same charge flow rate.",VERIFY,,VERIFY,,Step4 full-pass (5-label schema)
AI_E06_2,1,Current is the same everywhere in a series circuit because there is only one path for charges to follow.,FRAME,,FRAME,,Step4 full-pass (5-label schema)
AI_E06_2,2,Charge cannot pile up in one part of the circuit while disappearing in another.,PRINCIPLE_DERIVE,,PRINCIPLE_DERIVE,,Step4 full-pass (5-label schema)
AI_E06_2,3,"In a steady circuit, the same amount of charge that enters each component must leave it.",PRINCIPLE_DERIVE,,PRINCIPLE_DERIVE,,Step4 full-pass (5-label schema)
AI_E06_2,4,"If current were different at different points, charge would build up somewhere, which does not happen in normal operation.",VERIFY,,VERIFY,,Step4 full-pass (5-label schema)
AI_E06_2,5,You can think of it like water flowing through a single pipe loop: the same amount of water passes every point each second.,INTUITION,,INTUITION,,Step4 full-pass (5-label schema)
AI_E06_2,6,"In a series circuit, all components share the same charge flow rate.",VERIFY,,VERIFY,,Step4 full-pass (5-label schema)
AI_E07_1,1,Voltage drops across components because electrical energy is transferred from charges to the components.,FRAME,,FRAME,,Step4 full-pass (5-label schema)
AI_E07_1,2,Voltage measures electric potential energy per unit charge.,PRINCIPLE_DERIVE,,PRINCIPLE_DERIVE,,Step4 full-pass (5-label schema)
AI_E07_1,3,"As charges move through a resistor, bulb, or motor, they lose some energy by producing heat, light, or motion.",PRINCIPLE_DERIVE,,PRINCIPLE_DERIVE,,Step4 full-pass (5-label schema)
AI_E07_1,4,This energy loss appears as a voltage drop.,PRINCIPLE_DERIVE,,PRINCIPLE_DERIVE,,Step4 full-pass (5-label schema)
AI_E07_1,5,"The battery gives charges energy, raising their voltage, and the components use that energy, lowering it.",PRINCIPLE_DERIVE,,PRINCIPLE_DERIVE,,Step4 full-pass (5-label schema)
AI_E07_1,6,The total voltage supplied by the battery must equal the total voltage lost in the circuit.,VERIFY,,VERIFY,,Step4 full-pass (5-label schema)
AI_E07_1,7,Voltage drop is simply the amount of energy each charge gives up while passing through a device.,VERIFY,,VERIFY,,Step4 full-pass (5-label schema)
AI_E07_2,1,Voltage drops across components because electrical energy is transferred from charges to the components.,FRAME,,FRAME,,Step4 full-pass (5-label schema)
AI_E07_2,2,Voltage measures electric potential energy per unit charge.,PRINCIPLE_DERIVE,,PRINCIPLE_DERIVE,,Step4 full-pass (5-label schema)
AI_E07_2,3,"As charges move through a resistor, bulb, or motor, they lose some energy by producing heat, light, or motion.",PRINCIPLE_DERIVE,,PRINCIPLE_DERIVE,,Step4 full-pass (5-label schema)
AI_E07_2,4,This energy loss appears as a voltage drop.,PRINCIPLE_DERIVE,,PRINCIPLE_DERIVE,,Step4 full-pass (5-label schema)
AI_E07_2,5,"The battery gives charges energy, raising their voltage, and the components use that energy, lowering it.",PRINCIPLE_DERIVE,,PRINCIPLE_DERIVE,,Step4 full-pass (5-label schema)
AI_E07_2,6,The total voltage supplied by the battery must equal the total voltage lost in the circuit.,VERIFY,,VERIFY,,Step4 full-pass (5-label schema)
AI_E07_2,7,Voltage drop is simply the amount of energy each charge gives up while passing through a device.,VERIFY,,VERIFY,,Step4 full-pass (5-label schema)
AI_E08_1,1,Two neutral objects can still attract each other because charge inside objects can shift.,FRAME,,FRAME,,Step4 full-pass (5-label schema)
AI_E08_1,2,"Even if an object has equal positive and negative charges overall, those charges may not be evenly distributed.",PRINCIPLE_DERIVE,,PRINCIPLE_DERIVE,,Step4 full-pass (5-label schema)
AI_E08_1,3,"A charged object nearby can cause the charges in a neutral object to rearrange slightly, a process called polarization.",PRINCIPLE_DERIVE,,PRINCIPLE_DERIVE,,Step4 full-pass (5-label schema)
AI_E08_1,4,This creates a region of opposite charge closer to the charged object.,PRINCIPLE_DERIVE,,PRINCIPLE_DERIVE,,Step4 full-pass (5-label schema)
AI_E08_1,5,"Since electric force is stronger at shorter distances, the attraction to the closer opposite charges can be greater than the repulsion from farther like charges.",PRINCIPLE_DERIVE,,PRINCIPLE_DERIVE,,Step4 full-pass (5-label schema)
AI_E08_1,6,"As a result, the neutral object is pulled toward the charged one.",VERIFY,,VERIFY,,Step4 full-pass (5-label schema)
AI_E08_2,1,Two neutral objects can still attract each other because charge inside objects can shift.,FRAME,,FRAME,,Step4 full-pass (5-label schema)
AI_E08_2,2,"Even if an object has equal positive and negative charges overall, those charges may not be evenly distributed.",PRINCIPLE_DERIVE,,PRINCIPLE_DERIVE,,Step4 full-pass (5-label schema)
AI_E08_2,3,"A charged object nearby can cause the charges in a neutral object to rearrange slightly, a process called polarization.",PRINCIPLE_DERIVE,,PRINCIPLE_DERIVE,,Step4 full-pass (5-label schema)
AI_E08_2,4,This creates a region of opposite charge closer to the charged object.,PRINCIPLE_DERIVE,,PRINCIPLE_DERIVE,,Step4 full-pass (5-label schema)
AI_E08_2,5,"Since electric force is stronger at shorter distances, the attraction to the closer opposite charges can be greater than the repulsion from farther like charges.",PRINCIPLE_DERIVE,,PRINCIPLE_DERIVE,,Step4 full-pass (5-label schema)
AI_E08_2,6,"As a result, the neutral object is pulled toward the charged one.",VERIFY,,VERIFY,,Step4 full-pass (5-label schema)
AI_M01_1,1,"An object moving in a circle accelerates because acceleration means any change in velocity, and velocity includes both speed and direction.",FRAME,FRAME,FRAME,,QC_OK: FRAME label confirmed
AI_M01_1,2,"Even if the speed stays the same, the direction is constantly changing as the object moves around the circle.",PRINCIPLE_DERIVE,PRINCIPLE_DERIVE,PRINCIPLE_DERIVE,,QC_OK: PRINCIPLE_DERIVE label confirmed
AI_M01_1,3,"At every instant, the object’s velocity points in a slightly new direction.",PRINCIPLE_DERIVE,PRINCIPLE_DERIVE,PRINCIPLE_DERIVE,,QC_OK: PRINCIPLE_DERIVE label confirmed | T1 PRINCIPLEvsDERIVE: step in directional-change reasoning chain
AI_M01_1,4,That change in direction requires an inward acceleration called centripetal acceleration.,PRINCIPLE_DERIVE,PRINCIPLE_DERIVE,PRINCIPLE_DERIVE,,QC_OK: PRINCIPLE_DERIVE label confirmed
AI_M01_1,5,"Without it, the object would move in a straight line instead.",VERIFY,VERIFY,VERIFY,,QC_OK: VERIFY label confirmed
AI_M01_1,6,"For example, when a car turns, the tires provide the inward force needed to keep changing the car’s direction, which is why turning creates acceleration.",PRINCIPLE_DERIVE,INTUITION,PRINCIPLE_DERIVE,AUTO_FINAL=Annotator1,QC_OK: PRINCIPLE_DERIVE label confirmed | T4 PRINCIPLEvsINTUITION: concrete everyday example for intuition
AI_M01_2,1,"An object moving in a circle accelerates because acceleration means any change in velocity, and velocity includes both speed and direction.",FRAME,FRAME,FRAME,,QC_OK: FRAME label confirmed
AI_M01_2,2,"Even if the speed stays the same, the direction is constantly changing as the object moves around the circle.",PRINCIPLE_DERIVE,PRINCIPLE_DERIVE,PRINCIPLE_DERIVE,,QC_OK: PRINCIPLE_DERIVE label confirmed
AI_M01_2,3,"At every instant, the object’s velocity points in a slightly new direction.",PRINCIPLE_DERIVE,PRINCIPLE_DERIVE,PRINCIPLE_DERIVE,,QC_OK: PRINCIPLE_DERIVE label confirmed | T1 PRINCIPLEvsDERIVE: step in directional-change reasoning chain
AI_M01_2,4,That change in direction requires an inward acceleration called centripetal acceleration.,PRINCIPLE_DERIVE,PRINCIPLE_DERIVE,PRINCIPLE_DERIVE,,QC_OK: PRINCIPLE_DERIVE label confirmed
AI_M01_2,5,"Without it, the object would move in a straight line instead.",VERIFY,VERIFY,VERIFY,,QC_OK: VERIFY label confirmed
AI_M01_2,6,"For example, when a car turns, the tires provide the inward force needed to keep changing the car’s direction, which is why turning creates acceleration.",PRINCIPLE_DERIVE,INTUITION,PRINCIPLE_DERIVE,AUTO_FINAL=Annotator1,QC_OK: PRINCIPLE_DERIVE label confirmed | T4 PRINCIPLEvsINTUITION: concrete everyday example for intuition
AI_M02_1,1,"In the absence of air resistance, heavier and lighter objects fall at the same rate because gravity accelerates all masses equally.",FRAME,FRAME,FRAME,,QC_OK: FRAME label confirmed
AI_M02_1,2,"A heavier object does feel a larger gravitational force, but it also has more inertia, meaning it resists changes in motion more.",PRINCIPLE_DERIVE,PRINCIPLE_DERIVE,PRINCIPLE_DERIVE,,QC_OK: PRINCIPLE_DERIVE label confirmed
AI_M02_1,3,These two effects balance out.,PRINCIPLE_DERIVE,PRINCIPLE_DERIVE,PRINCIPLE_DERIVE,,QC_OK: PRINCIPLE_DERIVE label confirmed
AI_M02_1,4,Newton’s second law says acceleration equals force divided by mass.,PRINCIPLE_DERIVE,PRINCIPLE_DERIVE,PRINCIPLE_DERIVE,,QC_OK: PRINCIPLE_DERIVE label confirmed
AI_M02_1,5,"Since gravitational force is proportional to mass, the mass cancels out, leaving the same acceleration for all objects.",PRINCIPLE_DERIVE,PRINCIPLE_DERIVE,PRINCIPLE_DERIVE,,QC_OK: PRINCIPLE_DERIVE label confirmed | T1 PRINCIPLEvsDERIVE: algebraic cancellation as inferential step
AI_M02_1,6,"That is why, in a vacuum, a feather and a hammer dropped together fall side by side and hit the ground at the same time.",PRINCIPLE_DERIVE,VERIFY,PRINCIPLE_DERIVE,AUTO_FINAL=Annotator1,QC_OK: PRINCIPLE_DERIVE label confirmed | T3 VERIFYvsCAVEAT: vacuum example sanity-checks derived claim
AI_M02_2,1,"In the absence of air resistance, heavier and lighter objects fall at the same rate because gravity accelerates all masses equally.",FRAME,FRAME,FRAME,,QC_OK: FRAME label confirmed
AI_M02_2,2,"A heavier object does feel a larger gravitational force, but it also has more inertia, meaning it resists changes in motion more.",PRINCIPLE_DERIVE,PRINCIPLE_DERIVE,PRINCIPLE_DERIVE,,QC_OK: PRINCIPLE_DERIVE label confirmed
AI_M02_2,3,These two effects balance out.,PRINCIPLE_DERIVE,PRINCIPLE_DERIVE,PRINCIPLE_DERIVE,,QC_OK: PRINCIPLE_DERIVE label confirmed
AI_M02_2,4,Newton’s second law says acceleration equals force divided by mass.,PRINCIPLE_DERIVE,PRINCIPLE_DERIVE,PRINCIPLE_DERIVE,,QC_OK: PRINCIPLE_DERIVE label confirmed
AI_M02_2,5,"Since gravitational force is proportional to mass, the mass cancels out, leaving the same acceleration for all objects.",PRINCIPLE_DERIVE,PRINCIPLE_DERIVE,PRINCIPLE_DERIVE,,QC_OK: PRINCIPLE_DERIVE label confirmed | T1 PRINCIPLEvsDERIVE: algebraic cancellation as inferential step
AI_M02_2,6,"That is why, in a vacuum, a feather and a hammer dropped together fall side by side and hit the ground at the same time.",PRINCIPLE_DERIVE,VERIFY,PRINCIPLE_DERIVE,AUTO_FINAL=Annotator1,QC_OK: PRINCIPLE_DERIVE label confirmed | T3 VERIFYvsCAVEAT: vacuum example sanity-checks derived claim
AI_M03_1,1,"A passenger feels pushed backward when a car suddenly accelerates forward because of inertia, the tendency of objects to resist changes in motion.",FRAME,,FRAME,,QC_OK: FRAME label confirmed
AI_M03_1,2,"Before the car moves, both the passenger and the car are at rest.",PRINCIPLE_DERIVE,,PRINCIPLE_DERIVE,,QC_OK: PRINCIPLE_DERIVE label confirmed
AI_M03_1,3,"When the car speeds up, the seat pushes the passenger forward to make them move with the car.",PRINCIPLE_DERIVE,,PRINCIPLE_DERIVE,,QC_OK: PRINCIPLE_DERIVE label confirmed
AI_M03_1,4,But the passenger’s body initially wants to stay where it was.,PRINCIPLE_DERIVE,,PRINCIPLE_DERIVE,,QC_OK: PRINCIPLE_DERIVE label confirmed
AI_M03_1,5,This makes it feel like they are being pushed backward into the seat.,PRINCIPLE_DERIVE,,PRINCIPLE_DERIVE,,QC_OK: PRINCIPLE_DERIVE label confirmed
AI_M03_1,6,"In reality, the seat is pushing them forward.",VERIFY,,VERIFY,,QC_OK: VERIFY label confirmed
AI_M03_1,7,The backward feeling is just the sensation of their body resisting the car’s sudden change in speed.,PRINCIPLE_DERIVE,,PRINCIPLE_DERIVE,,QC_OK: PRINCIPLE_DERIVE label confirmed
AI_M03_2,1,"A passenger feels pushed backward when a car suddenly accelerates forward because of inertia, the tendency of objects to resist changes in motion.",FRAME,,FRAME,,QC_OK: FRAME label confirmed
AI_M03_2,2,"Before the car moves, both the passenger and the car are at rest.",PRINCIPLE_DERIVE,,PRINCIPLE_DERIVE,,QC_OK: PRINCIPLE_DERIVE label confirmed
AI_M03_2,3,"When the car speeds up, the seat pushes the passenger forward to make them move with the car.",PRINCIPLE_DERIVE,,PRINCIPLE_DERIVE,,QC_OK: PRINCIPLE_DERIVE label confirmed
AI_M03_2,4,But the passenger’s body initially wants to stay where it was.,PRINCIPLE_DERIVE,,PRINCIPLE_DERIVE,,QC_OK: PRINCIPLE_DERIVE label confirmed
AI_M03_2,5,This makes it feel like they are being pushed backward into the seat.,PRINCIPLE_DERIVE,,PRINCIPLE_DERIVE,,QC_OK: PRINCIPLE_DERIVE label confirmed
AI_M03_2,6,"In reality, the seat is pushing them forward.",VERIFY,,VERIFY,,QC_OK: VERIFY label confirmed
AI_M03_2,7,The backward feeling is just the sensation of their body resisting the car’s sudden change in speed.,PRINCIPLE_DERIVE,,PRINCIPLE_DERIVE,,QC_OK: PRINCIPLE_DERIVE label confirmed
AI_M04_1,1,A seatbelt reduces injury during a sudden stop by increasing the time over which your body comes to rest.,FRAME,,FRAME,,Step4 full-pass (5-label schema)
AI_M04_1,2,"Without a seatbelt, your body would keep moving forward at the car’s original speed because of inertia, possibly hitting the dashboard or windshield.",PRINCIPLE_DERIVE,,PRINCIPLE_DERIVE,,Step4 full-pass (5-label schema)
AI_M04_1,3,A seatbelt applies a restraining force that slows you down more gradually.,PRINCIPLE_DERIVE,,PRINCIPLE_DERIVE,,Step4 full-pass (5-label schema)
AI_M04_1,4,"Since force depends on how quickly momentum changes, spreading the stop over a longer time reduces the force on your body.",PRINCIPLE_DERIVE,,PRINCIPLE_DERIVE,,Step4 full-pass (5-label schema)
AI_M04_1,5,Seatbelts also keep you in the proper position so airbags can work effectively.,VERIFY,,VERIFY,,Step4 full-pass (5-label schema)
AI_M04_1,6,"They prevent you from being thrown forward, which greatly lowers the chance of serious injury.",VERIFY,,VERIFY,,Step4 full-pass (5-label schema)
AI_M04_2,1,A seatbelt reduces injury during a sudden stop by increasing the time over which your body comes to rest.,FRAME,,FRAME,,Step4 full-pass (5-label schema)
AI_M04_2,2,"Without a seatbelt, your body would keep moving forward at the car’s original speed because of inertia, possibly hitting the dashboard or windshield.",PRINCIPLE_DERIVE,,PRINCIPLE_DERIVE,,Step4 full-pass (5-label schema)
AI_M04_2,3,A seatbelt applies a restraining force that slows you down more gradually.,PRINCIPLE_DERIVE,,PRINCIPLE_DERIVE,,Step4 full-pass (5-label schema)
AI_M04_2,4,"Since force depends on how quickly momentum changes, spreading the stop over a longer time reduces the force on your body.",PRINCIPLE_DERIVE,,PRINCIPLE_DERIVE,,Step4 full-pass (5-label schema)
AI_M04_2,5,Seatbelts also keep you in the proper position so airbags can work effectively.,VERIFY,,VERIFY,,Step4 full-pass (5-label schema)
AI_M04_2,6,"They prevent you from being thrown forward, which greatly lowers the chance of serious injury.",VERIFY,,VERIFY,,Step4 full-pass (5-label schema)
AI_M05_1,1,It is harder to stop a truck than a bicycle moving at the same speed because the truck has much more mass and therefore much more momentum.,FRAME,,FRAME,,Step4 full-pass (5-label schema)
AI_M05_1,2,Momentum is the product of mass and velocity.,PRINCIPLE_DERIVE,,PRINCIPLE_DERIVE,,Step4 full-pass (5-label schema)
AI_M05_1,3,"Since both are moving at the same speed, the truck’s larger mass means it carries far more momentum.",PRINCIPLE_DERIVE,,PRINCIPLE_DERIVE,,Step4 full-pass (5-label schema)
