explanation_id,prompt_id,topic,source_type,source_name,source_url,model_name,generation_prompt,explanation_text,word_count,annotation_status,second_annotation_status,physics_flag,notes
AI_P26_1,P26,mechanics,AI,ChatGPT,,openai/gpt-5.3-chat,"Explain this physics concept to a first-year college student in about 100 words. Be conceptually precise, pedagogically clear, and avoid unnecessary jargon. Include the relevant physical principle and one intuitive bridge/example if helpful. Return only one plain paragraph with no title and no bullet points.

Question: Why is total momentum conserved in collisions when external forces are negligible?","Total momentum is conserved in collisions because of Newton’s third law and the absence of significant external forces. During a collision, the forces the objects exert on each other are equal in magnitude and opposite in direction, so the impulse (force × time) each object experiences is equal and opposite. This means any momentum lost by one object is exactly gained by the other, leaving the total unchanged. If no external forces act on the system, there’s nothing to add or remove momentum overall. A simple example is two ice skaters pushing off each other: they move apart, but their combined momentum remains zero if they started at rest.",109,pending,,,auto-generated via OpenRouter
AI_P26_2,P26,mechanics,AI,Claude,,anthropic/claude-sonnet-4.6,"Explain this physics concept to a first-year college student in about 100 words. Be conceptually precise, pedagogically clear, and avoid unnecessary jargon. Include the relevant physical principle and one intuitive bridge/example if helpful. Return only one plain paragraph with no title and no bullet points.

Question: Why is total momentum conserved in collisions when external forces are negligible?","Newton's third law tells us that whenever two objects interact, they exert equal and opposite forces on each other. During a collision, object A pushes on object B with exactly the force that B pushes back on A, just in the opposite direction. Since momentum change equals force multiplied by time, these paired forces act for the same duration, so whatever momentum one object gains, the other loses by precisely that amount. The total momentum of the system therefore stays constant. Think of two skaters pushing off each other on frictionless ice: one glides left, the other right, but their combined momentum remains zero throughout.",105,pending,,,auto-generated via OpenRouter
AI_P27_1,P27,mechanics,AI,ChatGPT,,openai/gpt-5.3-chat,"Explain this physics concept to a first-year college student in about 100 words. Be conceptually precise, pedagogically clear, and avoid unnecessary jargon. Include the relevant physical principle and one intuitive bridge/example if helpful. Return only one plain paragraph with no title and no bullet points.

Question: How does Newton's second law explain the relationship between net force, mass, and acceleration?","Newton’s second law states that the net force acting on an object equals its mass times its acceleration (F = ma). This means acceleration depends on both how strong the overall (net) force is and how much mass the object has. For a given mass, a larger net force produces a larger acceleration; for a given force, a larger mass produces a smaller acceleration. The key idea is that forces don’t just cause motion—they change motion. For example, pushing an empty shopping cart makes it speed up quickly, but the same push on a full cart leads to a much smaller acceleration because its mass is greater.",107,pending,,,auto-generated via OpenRouter
AI_P27_2,P27,mechanics,AI,Claude,,anthropic/claude-sonnet-4.6,"Explain this physics concept to a first-year college student in about 100 words. Be conceptually precise, pedagogically clear, and avoid unnecessary jargon. Include the relevant physical principle and one intuitive bridge/example if helpful. Return only one plain paragraph with no title and no bullet points.

Question: How does Newton's second law explain the relationship between net force, mass, and acceleration?","Newton's second law states that the net force acting on an object equals its mass multiplied by its acceleration: F = ma. This means acceleration is directly proportional to net force — push harder, and the object speeds up faster. It also means acceleration is inversely proportional to mass — a heavier object is harder to accelerate with the same force. Think of pushing a shopping cart: an empty cart accelerates easily with a small push, but a full cart requires much more force to achieve the same acceleration. The key insight is that force doesn't determine speed directly; it determines how quickly velocity changes.",105,pending,,,auto-generated via OpenRouter
AI_P28_1,P28,energy_work,AI,ChatGPT,,openai/gpt-5.3-chat,"Explain this physics concept to a first-year college student in about 100 words. Be conceptually precise, pedagogically clear, and avoid unnecessary jargon. Include the relevant physical principle and one intuitive bridge/example if helpful. Return only one plain paragraph with no title and no bullet points.

Question: How can kinetic and potential energy change while total mechanical energy remains constant?","In a system where only conservative forces (like gravity or a spring) do work, energy can shift between kinetic energy (motion) and potential energy (stored due to position or configuration) without changing the total mechanical energy. The key principle is conservation of mechanical energy: energy isn’t lost, just transformed. For example, when you toss a ball upward, it slows down as kinetic energy decreases, but its gravitational potential energy increases by exactly the same amount. At the top, kinetic energy is minimal and potential is maximal; on the way down, the process reverses. Ignoring friction or air resistance, the sum of the two energies stays constant.",106,pending,,,auto-generated via OpenRouter
AI_P28_2,P28,energy_work,AI,Claude,,anthropic/claude-sonnet-4.6,"Explain this physics concept to a first-year college student in about 100 words. Be conceptually precise, pedagogically clear, and avoid unnecessary jargon. Include the relevant physical principle and one intuitive bridge/example if helpful. Return only one plain paragraph with no title and no bullet points.

Question: How can kinetic and potential energy change while total mechanical energy remains constant?","In an isolated system with no friction or other non-conservative forces doing work, the total mechanical energy — the sum of kinetic and potential energy — stays fixed because energy simply converts between the two forms rather than disappearing. As an object gains speed, its kinetic energy rises while its potential energy drops by exactly the same amount, and vice versa. Think of a swinging pendulum: at the bottom of its arc it moves fastest and has maximum kinetic energy, while at the top of each swing it momentarily stops and holds maximum potential energy. The total never changes — energy just shifts form continuously.",105,pending,,,auto-generated via OpenRouter
AI_P29_1,P29,thermo_waves,AI,ChatGPT,,openai/gpt-5.3-chat,"Explain this physics concept to a first-year college student in about 100 words. Be conceptually precise, pedagogically clear, and avoid unnecessary jargon. Include the relevant physical principle and one intuitive bridge/example if helpful. Return only one plain paragraph with no title and no bullet points.

Question: How are wave speed, frequency, and wavelength related, and what changes when frequency increases in one medium?","Wave speed, frequency, and wavelength are linked by the equation v = fλ, where v is wave speed, f is frequency, and λ is wavelength. In a given medium, the wave speed is usually fixed by the medium’s properties, so frequency and wavelength must adjust to keep their product constant. If the frequency increases, the wavelength decreases proportionally. For example, if you shake a rope faster, the ripples become more closely spaced rather than moving faster along the rope. The key principle is that the medium sets the speed, so changes in frequency are balanced by opposite changes in wavelength.",100,pending,,,auto-generated via OpenRouter
AI_P29_2,P29,thermo_waves,AI,Claude,,anthropic/claude-sonnet-4.6,"Explain this physics concept to a first-year college student in about 100 words. Be conceptually precise, pedagogically clear, and avoid unnecessary jargon. Include the relevant physical principle and one intuitive bridge/example if helpful. Return only one plain paragraph with no title and no bullet points.

Question: How are wave speed, frequency, and wavelength related, and what changes when frequency increases in one medium?","All waves obey the relationship v = fλ, where v is wave speed, f is frequency, and λ is wavelength. In a given medium, the wave speed is fixed by the physical properties of that medium — for example, sound travels at roughly 343 m/s in air regardless of the source. This means if you increase the frequency, the wavelength must decrease proportionally to keep the speed constant. Think of a jump rope being shaken faster: the waves come more frequently, but each individual wave crest is shorter, while the speed at which disturbances travel along the rope stays the same.",101,pending,,,auto-generated via OpenRouter
AI_P30_1,P30,em,AI,ChatGPT,,openai/gpt-5.3-chat,"Explain this physics concept to a first-year college student in about 100 words. Be conceptually precise, pedagogically clear, and avoid unnecessary jargon. Include the relevant physical principle and one intuitive bridge/example if helpful. Return only one plain paragraph with no title and no bullet points.

Question: How does a magnetic field change the motion of a moving charged particle?","A magnetic field changes a moving charged particle’s motion through the Lorentz force, which acts perpendicular to both the particle’s velocity and the magnetic field. Because the force is always sideways rather than along the direction of motion, it does not speed the particle up or slow it down; instead, it bends its path. If the velocity is fully perpendicular to the field, the particle moves in a circle; if there is also motion along the field, the path becomes a helix. A helpful analogy is a ball tied to a string: the tension (like the magnetic force) continuously pulls sideways, curving the motion without changing its speed.",108,pending,,,auto-generated via OpenRouter
AI_P30_2,P30,em,AI,Claude,,anthropic/claude-sonnet-4.6,"Explain this physics concept to a first-year college student in about 100 words. Be conceptually precise, pedagogically clear, and avoid unnecessary jargon. Include the relevant physical principle and one intuitive bridge/example if helpful. Return only one plain paragraph with no title and no bullet points.

Question: How does a magnetic field change the motion of a moving charged particle?","A magnetic field exerts a force on a moving charged particle, but this force always points perpendicular to both the particle's velocity and the magnetic field direction — described by the equation **F = qv × B**. Because the force is always sideways to the motion, it never speeds the particle up or slows it down; it only continuously redirects it. This causes the particle to curve into a circular or helical path rather than a straight one. Think of it like a ball on a string: the string pulls sideways, keeping the ball spinning in a circle without changing its speed. No work is done.",106,pending,,,auto-generated via OpenRouter
